dataset	lineage	field	n_cells	n_missing	missing_fraction	field_status
terekhova	DC	ctype_high_conf	4204	0	0.0	observed
terekhova	DC	ctype_low	4204	0	0.0	observed
terekhova	DC	ctype_low_conf	4204	0	0.0	observed
terekhova	DC	dataset	4204	0	0.0	observed
terekhova	DC	donor_id	4204	0	0.0	observed
terekhova	DC	lineage	4204	0	0.0	observed
terekhova	DC	pct_mt	4204	0	0.0	observed
terekhova	DC	sample_id	4204	0	0.0	observed
terekhova	DC	sex	4204	0	0.0	observed
aidav2	Monocytes	age	272982	0	0.0	observed
aidav2	Monocytes	batch	272982	0	0.0	observed
aidav2	Monocytes	chemistry	272982	0	0.0	observed
aidav2	Monocytes	ctype_high	272982	0	0.0	observed
aidav2	Monocytes	ctype_high_conf	272982	0	0.0	observed
aidav2	Monocytes	ctype_low	272982	0	0.0	observed
aidav2	Monocytes	ctype_low_conf	272982	0	0.0	observed
aidav2	Monocytes	dataset	272982	0	0.0	observed
aidav2	Monocytes	donor_id	272982	0	0.0	observed
aidav2	Monocytes	lineage	272982	0	0.0	observed
aidav2	Monocytes	pct_mt	272982	0	0.0	observed
aidav2	Monocytes	sample_id	272982	0	0.0	observed
aidav2	Monocytes	sex	272982	0	0.0	observed
immuneindonesia	Monocytes	age	49176	0	0.0	observed
immuneindonesia	Monocytes	batch	49176	0	0.0	observed
immuneindonesia	Monocytes	chemistry	49176	0	0.0	observed
immuneindonesia	Monocytes	ctype_high	49176	0	0.0	observed
immuneindonesia	Monocytes	ctype_high_conf	49176	0	0.0	observed
immuneindonesia	Monocytes	ctype_low	49176	0	0.0	observed
immuneindonesia	Monocytes	ctype_low_conf	49176	0	0.0	observed
immuneindonesia	Monocytes	dataset	49176	0	0.0	observed
immuneindonesia	Monocytes	donor_id	49176	0	0.0	observed
immuneindonesia	Monocytes	lineage	49176	0	0.0	observed
immuneindonesia	Monocytes	pct_mt	49176	0	0.0	observed
immuneindonesia	Monocytes	sample_id	49176	0	0.0	observed
immuneindonesia	Monocytes	sex	49176	0	0.0	observed
immunobiologyaging	Monocytes	age	361405	0	0.0	observed
immunobiologyaging	Monocytes	batch	361405	0	0.0	observed
immunobiologyaging	Monocytes	chemistry	361405	0	0.0	observed
immunobiologyaging	Monocytes	ctype_high	361405	0	0.0	observed
immunobiologyaging	Monocytes	ctype_high_conf	361405	0	0.0	observed
immunobiologyaging	Monocytes	ctype_low	361405	0	0.0	observed
immunobiologyaging	Monocytes	ctype_low_conf	361405	0	0.0	observed
immunobiologyaging	Monocytes	dataset	361405	0	0.0	observed
immunobiologyaging	Monocytes	donor_id	361405	0	0.0	observed
immunobiologyaging	Monocytes	lineage	361405	0	0.0	observed
immunobiologyaging	Monocytes	pct_mt	361405	0	0.0	observed
immunobiologyaging	Monocytes	sample_id	361405	0	0.0	observed
immunobiologyaging	Monocytes	sex	361405	0	0.0	observed
onek1k	Monocytes	age	48706	0	0.0	observed
onek1k	Monocytes	batch	48706	0	0.0	observed
onek1k	Monocytes	chemistry	48706	0	0.0	observed
onek1k	Monocytes	ctype_high	48706	0	0.0	observed
onek1k	Monocytes	ctype_high_conf	48706	0	0.0	observed
onek1k	Monocytes	ctype_low	48706	0	0.0	observed
onek1k	Monocytes	ctype_low_conf	48706	0	0.0	observed
onek1k	Monocytes	dataset	48706	0	0.0	observed
onek1k	Monocytes	donor_id	48706	0	0.0	observed
onek1k	Monocytes	lineage	48706	0	0.0	observed
onek1k	Monocytes	pct_mt	48706	0	0.0	observed
onek1k	Monocytes	sample_id	48706	0	0.0	observed
onek1k	Monocytes	sex	48706	0	0.0	observed
terekhova	Monocytes	age	314266	0	0.0	observed
terekhova	Monocytes	batch	314266	0	0.0	observed
terekhova	Monocytes	chemistry	314266	0	0.0	observed
terekhova	Monocytes	ctype_high	314266	0	0.0	observed
terekhova	Monocytes	ctype_high_conf	314266	0	0.0	observed
terekhova	Monocytes	ctype_low	314266	0	0.0	observed
terekhova	Monocytes	ctype_low_conf	314266	0	0.0	observed
terekhova	Monocytes	dataset	314266	0	0.0	observed
terekhova	Monocytes	donor_id	314266	0	0.0	observed
terekhova	Monocytes	lineage	314266	0	0.0	observed
terekhova	Monocytes	pct_mt	314266	0	0.0	observed
terekhova	Monocytes	sample_id	314266	0	0.0	observed
terekhova	Monocytes	sex	314266	0	0.0	observed
aidav2	NK_ILC	age	160507	0	0.0	observed
aidav2	NK_ILC	batch	160507	0	0.0	observed
aidav2	NK_ILC	chemistry	160507	0	0.0	observed
aidav2	NK_ILC	ctype_high	160507	0	0.0	observed
aidav2	NK_ILC	ctype_high_conf	160507	0	0.0	observed
aidav2	NK_ILC	ctype_low	160507	0	0.0	observed
aidav2	NK_ILC	ctype_low_conf	160507	0	0.0	observed
aidav2	NK_ILC	dataset	160507	0	0.0	observed
aidav2	NK_ILC	donor_id	160507	0	0.0	observed
aidav2	NK_ILC	lineage	160507	0	0.0	observed
aidav2	NK_ILC	pct_mt	160507	0	0.0	observed
aidav2	NK_ILC	sample_id	160507	0	0.0	observed
aidav2	NK_ILC	sex	160507	0	0.0	observed
immuneindonesia	NK_ILC	age	50134	0	0.0	observed
immuneindonesia	NK_ILC	batch	50134	0	0.0	observed
immuneindonesia	NK_ILC	chemistry	50134	0	0.0	observed
immuneindonesia	NK_ILC	ctype_high	50134	0	0.0	observed
immuneindonesia	NK_ILC	ctype_high_conf	50134	0	0.0	observed
immuneindonesia	NK_ILC	ctype_low	50134	0	0.0	observed
immuneindonesia	NK_ILC	ctype_low_conf	50134	0	0.0	observed
